"행정구역","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0세"
"전국  (0000000000)","25,699,579","124,233","124,233","25,858,862","118,791","118,791"
"서울특별시  (1100000000)","4,601,295","21,115","21,115","4,887,159","19,816","19,816"
"부산광역시  (2600000000)","1,627,821","6,955","6,955","1,703,623","6,703","6,703"
"대구광역시  (2700000000)","1,167,564","5,094","5,094","1,204,372","4,866","4,866"
"인천광역시  (2800000000)","1,483,370","7,308","7,308","1,479,747","7,160","7,160"
"광주광역시  (2900000000)","709,090","3,754","3,754","725,307","3,561","3,561"
"대전광역시  (3000000000)","722,486","3,827","3,827","725,754","3,590","3,590"
"울산광역시  (3100000000)","571,867","2,747","2,747","541,591","2,667","2,667"
"세종특별자치시  (3600000000)","190,276","1,584","1,584","191,163","1,563","1,563"
"경기도  (4100000000)","6,840,757","37,522","37,522","6,749,299","35,589","35,589"
"강원도  (4200000000)","774,193","3,591","3,591","764,608","3,505","3,505"
"충청북도  (4300000000)","811,289","3,781","3,781","785,597","3,676","3,676"
"충청남도  (4400000000)","1,085,209","5,145","5,145","1,035,873","4,932","4,932"
"전라북도  (4500000000)","883,436","3,434","3,434","892,228","3,496","3,496"
"전라남도  (4600000000)","918,260","3,952","3,952","905,844","3,753","3,753"
"경상북도  (4700000000)","1,315,815","5,610","5,610","1,293,541","5,379","5,379"
"경상남도  (4800000000)","1,656,746","6,979","6,979","1,634,245","6,828","6,828"
"제주특별자치도  (5000000000)","340,105","1,835","1,835","338,911","1,707","1,707"
