사용월,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수,작업일시
2022-08,11110897,0017,0017번(청암동~이촌동),1,청암자이아파트,618,5,2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),2,청암동강변삼성아파트,"1,826",28,2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),3,청심경로당,"2,997",42,2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),4,원효2동주민센터,"5,015",144,2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),5,산천동,"6,511",325,2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),6,신창동세방아파트,"5,700",219,2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),7,남이장군사당,"1,726","1,398",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),8,새마을금고,"4,591","3,569",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),9,용문시장,"5,586","1,856",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),10,용산전자상가입구,"2,658","1,179",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),11,신용산지하차도,"1,245","2,254",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),12,용산역,"29,308","20,458",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),13,용산푸르지오써밋,"1,119","2,026",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),14,한강대교북단,"6,606","4,961",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),15,서부이촌동입구,"2,284","11,624",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),16,이촌2동대림아파트.새남터성지,970,"9,934",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),17,이촌2동주민센터,952,"6,464",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),18,성촌공원.포르쉐센터용산,235,"2,229",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),19,이촌119안전센터.성촌공원,283,"2,186",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),20,원효2동산호아파트후문,136,"2,439",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),21,청암동강변삼성아파트,"2,413","3,827",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),22,원효2동산호아파트,"4,403","1,105",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),23,원효로풍전아파트,"3,015",484,2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),24,성촌공원.포르쉐센터용산,"3,138","1,222",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),25,이촌2동주민센터,"8,009","1,134",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),26,이촌2동대림아파트.새남터성지,"10,252","1,073",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),27,이촌2동강변아파트,"8,625","3,315",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),28,한강대교북단.LG유플러스,"6,101","12,182",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),29,신용산역,"4,647","11,675",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),30,신용산역,"23,225","10,335",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),31,신용산지하차도,"1,137","4,497",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),32,용산전자상가입구,970,"4,607",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),33,용문시장,"1,929","4,263",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),34,새마을금고,"6,452","5,169",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),35,남이장군사당,262,"2,660",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),36,신창동세방아파트,154,"7,387",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),37,산천동,139,"5,970",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),38,산천동리버힐삼성아파트,39,"4,395",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),39,삼성테마트,13,"2,070",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),40,청암동강변삼성아파트,6,"1,340",2022-09-03 10:18:19
2022-08,11110897,0017,0017번(청암동~이촌동),41,청암자이아파트(가상),1,370,2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),1,남산예장버스환승주차장,"5,875",193,2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),2,퇴계로3가.한옥마을.한국의집,"7,063",134,2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),3,충무로역2번출구.대한극장앞,"14,085",383,2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),4,퇴계로5가,"2,938",941,2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),5,장충문화체육센터.권기옥활동터,"1,048","1,025",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),6,동대입구역.장충동,"22,091","2,383",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),7,국립극장.반얀트리호텔,"11,555","6,964",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),8,남산북측순환로입구,"3,988","3,695",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),9,남산서울타워,"47,308","45,126",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),10,남산도서관,"3,528","8,426",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),11,백범광장,"1,166","2,926",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),12,힐튼호텔,"1,369","8,547",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),13,남대문시장악세사리전문상가,"2,011","8,614",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),14,시청앞,"4,591","11,009",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),15,서울신문사,"5,603","5,138",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),16,KT광화문지사,"8,574","4,879",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),17,국립고궁박물관,"1,571","4,246",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),18,청와대,"7,304","10,222",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),19,춘추문,"8,529","4,133",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),20,경복궁.국립민속박물관,"8,469","4,113",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),21,안국역.인사동,"4,166","13,465",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),22,남인사마당,"3,042","3,965",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),23,종로2가.삼일교,885,"4,308",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),24,남대문세무서.서울백병원,515,"8,646",2022-09-03 10:18:19
2022-08,11110448,01,01번(예장주차장~예장주차장),25,남산예장버스환승주차장(종점가상),18,"4,060",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),1,서울드래곤시티,611,30,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),2,용산전자상가.전자랜드,262,40,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),3,원효로3가,"1,160",63,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),4,원효로2가사거리,340,98,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),5,남정초등학교,758,107,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),6,용산꿈나무종합타운.보건분소,"1,000",599,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),7,효창공원앞역.이봉창역사울림관,"5,762","1,121",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),8,국민은행효창동지점,968,938,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),9,효창공원삼거리.윤봉길의사등묘역,603,"2,758",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),10,숙명여대후문.이봉창활동터,642,"1,779",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),11,효창공원후문,"1,532","1,227",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),12,한겨레신문사입구,580,"1,198",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),13,대한노인회,722,824,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),14,효창운동장.효창동주민센터,870,133,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),15,서울금양초등학교.국민은행효창동지점,"1,194",404,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),16,효창공원앞역.이봉창역사울림관,"5,247","1,547",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),17,용산꿈나무종합타운.보건분소,"1,451",381,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),18,원효로2가,"2,533",836,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),19,원효로3가,"3,045","1,645",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),20,원효풍전아파트,"1,620","1,172",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),21,성촌공원.포르쉐센터용산,"2,469","1,937",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),22,이촌2동주민센터,"3,224","2,137",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),23,이촌2동대림아파트.새남터성지,"3,525","1,560",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),24,이촌2동강변아파트,"4,989","1,980",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),25,이촌동동부센트레빌,"1,161","1,358",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),26,이촌1동충신교회앞,"3,054","3,091",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),27,이촌동한강맨션.이촌역,"5,977","4,589",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),28,신용산초등학교,"3,655","2,475",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),29,이촌동점보아파트,"5,270","2,302",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),30,금강병원.반도아파트,"2,062","1,992",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),31,서빙고신동아아파트,"3,980","2,777",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),32,동작대교전망카페,646,599,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),33,구반포역.세화고등학교,"1,639","3,865",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),34,신반포역.세화여중고,"2,788","3,025",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),35,고속터미널,"9,582","11,038",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),36,반포미도아파트앞,"11,082","11,162",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),37,법조단지,"1,280","3,268",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),38,지하철2호선교대역2,"1,953","7,755",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),39,서초동유원아파트,"1,263","1,402",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),40,롯데칠성,261,"1,935",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),41,신분당선강남역,825,"4,230",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),42,래미안아파트.파이낸셜뉴스(중),399,"2,009",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),43,뱅뱅사거리,261,"1,548",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),44,양재역.서초문화예술회관,661,"1,627",2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),45,교육개발원입구,103,856,2022-09-03 10:18:19
2022-08,11110449,0411,0411번(용산차고지~AT센터),46,시민의숲,16,"1,093",2022-09-03 10:18:19
